verdict,statement_originator,statement,questions to verify the statement,statement_date,statement_source,factchecker,factcheck_date,factcheck_analysis_link,
FALSE,Instagram posts,"""Chicken and cows have high levels of estrogen, which leads men who eat them to bald, develop man boobs and be unable to grow muscle mass.""",x,2/26/2024,Social Media,Sofia Ahmed,3/1/2024,https://www.politifact.com/factchecks/2024/mar/01/instagram-posts/fact-checking-misinformation-about-estrogen-in-mea/,
FALSE,Joe Biden,"""He[Trump] has caused the deficit with China to go up, not down, with China. Up not down”",x,?,debate,CNN,,https://www.cnn.com/factsfirst/politics/factcheck_5c4a035e-e9fd-4de6-86ab-a2352479a3b0,
TRUE,Joe Biden,"""Millions of Arizonans will soon live under an even more extreme and dangerous abortion ban, which fails to protect women even when their health is at risk or in tragic cases of rape or incest",x,4/9/2024,speech,,,https://www.nytimes.com/2024/04/09/us/politics/biden-arizona-abortion-ban.html,
MOSTLY TRUE,Jonathan Becker,"After a 2022 law, “The vast majority of colleges in New York State do not have on-campus poll sites.”",x,2/16/2024,written,Politifact,4/8/2024,https://www.politifact.com/factchecks/2024/apr/08/jonathan-becker/do-the-vast-majority-of-colleges-in-new-york-state/,
FALSE,X user viral post,"Social Security Administration data shows the number of voters registering without a photo ID is skyrocketing in three key swing states, evidence that migrants who entered the country illegally are registering to vote in Arizona, Texas and Pennsylvania.",x,4/4/2024,Social Media,AP news,,,
FALSE,X user viral post,"Immigrants in the U.S. illegally on Tuesday stormed New York City Hall, demanding housing in luxury hotels rather than city shelters.",x,4/16/2024,Social Media,AP news,4/17/2024,https://apnews.com/article/fact-check-immigrants-city-hall-luxury-hotels-473023396539,
FALSE,Donald Trump,"""This year, the typical family’s tax bill is thousands of dollars lower because of the Trump Tax Cuts. We doubled your Standard Deduction. We doubled the child tax cuts—and we lowered income tax rates for EVERYONE. But if Crooked Joe Biden gets his way, you will soon be facing colossal tax HIKES…""",What is the average American family tax bill in 2024? Was the average American family tax bill lower under President Trump than President Biden? ,4/15/2024,Truth Social,factcheck.org,4/17/2024,https://www.factcheck.org/2024/04/trumps-unfounded-colossal-tax-hike-warning/,
MOSTLY FALSE,"Nicole Shanahan, Robert F. Kennedy Jr.’s choice for his vice presidential running mate",“I discovered that women’s fertility is in precipitous decline around the world. We are facing a crisis in reproductive health that is embedded in the larger epidemic of chronic disease.”,What is the global average fertility rate? Why is the average birth rate declining? ,3/26/2024,Speech,factcheck.org,4/4/2024,https://www.factcheck.org/2024/04/scicheck-shanahan-misleads-on-womens-fertility-trends/,
MOSTLY TRUE,Joe Biden,"""Billionares pay an average federal tax rate of about 8% less than a teacher or a firefighter or a sanitation worker, or a nurse.",What is the average tax rate for a U.S. Billionare? What is the average tax rate for a U.S. teacher/firefigther/sanitation worker/nurse?  ,,,,,,
MOSTLY TRUE,Joe Biden,"""100 million Americans can no longer be denied health insurance because of a preexisting condition because of that law [Affordable Care Act] and Trump wants to repeal it""",Does President Trump want to repeal the ACA? How many Americans have pre-existing conditions? ,3/9/2024,State of the Union speech,factcheck.org,,https://www.factcheck.org/2024/04/familiar-claims-in-a-familiar-presidential-race/,
MOSTLY FALSE,Robert F. Kennedy Jr.,"“Those policies that both of them engineered transferred $4 trillion from the middle class to this new oligarchy of billionaires,” he said. “They created 500 new billionaires in 500 days. A billionaire a day.”",x,3/26/2024,Speech,factcheck.org,3/27/2024,https://factcheck.org/2024/03/factchecking-rfk-jr-s-v-p-announcement/,
FALSE,Nicole Shanahan,"""I will be the the youngest vice president in American history.""",How old the youngest person to be elected vice president in American history? How old will Nicole Shanahan be in 2024? ,3/26/2024,Speech,factcheck.org,3/27/2024,https://factcheck.org/2024/03/factchecking-rfk-jr-s-v-p-announcement/,
FALSE,Nicole Shanahan,"""Pharmaceutical medicine” was one of “three main causes” of an “epidemic of chronic disease,” adding that “no single safety study can assess the cumulative impact of one prescription on top of another prescription and one shot on top of another shot on top of another shot throughout the course of childhood""",x,3/26/2024,Speech,factcheck.org,3/27/2024,factcheck.org/2024/03/factchecking-rfk-jr-s-v-p-announcement/,
HALF TRUE,Joe Biden,"""[The Trump Administration] added more to the national debt than any presidential term in American history. Check the numbers.”","What was the national debt at the begining of trump's presidency, what was it at the end? How does this number compare to all previous presidential terms in American History?",3/7/2024,State of the Union speech,CNN,3/8/2024,https://www.cnn.com/2024/03/07/politics/fact-check-joe-biden-state-of-the-union/index.html,
TRUE,Joe Biden,"""The economy has added “800,000 new manufacturing jobs” during his administration.""","According to U.S. Bureau of Labor Statistics data, How many new manufacturing jobs have been added under Biden's adminsitraiton?",3/7/2024,State of the Union speech,CNN,3/8/2024,https://www.cnn.com/2024/03/07/politics/fact-check-joe-biden-state-of-the-union/index.html,"It’s true that two of the main drug price provisions in the Inflation Reduction Act, which Democrats pushed through Congress in 2022, are expected to reduce the deficit by $160 billion, according to the nonpartisan Congressional Budget Office. In total, the law’s drug measures are expected to reduce the deficit by $237 billion, though delaying the implementation of a Trump administration drug rebate rule accounts for the difference.

The Inflation Reduction Act authorized Medicare to negotiate the prices of certain costly prescription drugs for the first time. This measure is expected to save $98.5 billion over a decade, according to the CBO. Negotiations for the initial 10 drugs are underway. The final prices will be made public by September and take effect in 2026.

The law also requires drugmakers to pay a rebate to the federal government if they raise the prices of certain medications faster than the rate of inflation. This is expected to save $63.2 billion over a decade, according to the CBO."
