Assignee,verdict,statement_originator,statement,questions to verify the statement,statement_date,context,factchecker,factcheck_date,factcheck_analysis_link,Gold Label,Reasoning
JP,MOSTLY FALSE,Deputy White House press secretary Andrew Bates,"""House Republicans took numerous votes that would have damaged economic growth and harmed our national security, like attempting to eliminate over 2,000 Border Patrol agents.""",,2024-01-10,Offical Statement,Washington Post,1/12/2024,https://www.washingtonpost.com/politics/2024/01/12/fact-checker-gop-border-patrol/,,
Shayan,FALSE,Victor Shi,"""Former U.S. President Donald Trump's margin of victory in the 2024 Republican Iowa caucuses was the smallest of any GOP candidate in history.""",,2024-01-15,Post,Snopes,1/16/2024,https://www.snopes.com/fact-check/donald-trump-iowa-caucus/,,
,MOSTLY TRUE,Ron DeSantis,"“[Nikki Haley] spent 100% of her money attacking me, and not one red cent attacking Donald Trump,” DeSantis claimed. “And I faced almost $50 million in total. I got in second and she did not.”",How much money did Haley’s campaign and allied super PACs spend on ads targeting DeSantis. How much money did  Haley’s campaign and allied super PACs spend on ads targeting Donalrd Trump?,2024-01-16,Speech,CNN,1/26/2024,https://www.cnn.com/2024/01/16/politics/fact-check-ron-desantis-town-hall-new-hampshire/index.html,no,
Shayan,HALF TRUE,Joe Biden,"""Look, folks, you know how many billionaires we have in America today? One thousand. You know what their average rate — tax rate — federal tax rate is? Federal tax rate is 8.5 percent. Raise your hand if you’d trade your tax rate for 8.5 percent. I’m serious. Think about this. There’d be $40 billion raised if they even pay 25 percent.""",,2024-01-18,Speech,Washington Post,1/23/2024,https://www.washingtonpost.com/politics/2024/01/23/biden-keeps-saying-billionaires-pay-8-percent-taxes-not-really/,,
Shayan,FALSE,Fox News host Bret Baier,"""Former U.S. President Donald Trump is the first presidential candidate to win the New Hampshire primary three times.""",,2024-01-23,News,Snopes,1/24/2024,https://www.snopes.com/fact-check/trump-new-hampshire-primary-record/,,
Sunny,HALF TRUE,Joe Biden,"“Tens of thousands of auto jobs were lost nationwide during Trump's presidency,” but during Biden’s presidency, “we've created more than 250,000 auto jobs.”",x,2024-01-24,Speech,PolitiFact,1/29/2024,https://www.PolitiFact.com/factchecks/2024/jan/29/joe-biden/fact-checking-joe-biden-on-auto-jobs-gained-and-lo/,,
Ha Yeon ,TRUE,one billboard paid for by the Democratic National Convention,"""The top donor to a major super PAC supporting Donald Trump for president in 2024 is also the top donor to the super PAC supporting Robert F. Kennedy Jr. for president.""",,2024-02-01,Billboard,Snopes,3/28/2024,https://www.snopes.com/fact-check/super-pacs-donor-trump-rfk/,,
Shayan,TRUE,X user viral post,"""In February 2024, Nikki Haley lost the Nevada presidential primary to 'None of These Candidates.' """,,2024-02-07,Post,Snopes,2/7/2024,https://www.snopes.com/fact-check/nevada-voters-nikki-haley/,,
,TRUE,Tony Evers,“We're having the largest classes of correctional officers we've ever had before.”,,2024-02-11,,PolitiFact,,https://www.politifact.com/factchecks/2024/mar/06/tony-evers/yes-wisconsin-correctional-officer-training-classe/,,"Wisconsin’s prisons have been making big headlines over the last year for their lockdowns, rodent infestations and soaring staffing shortages. To improve prison conditions and attract more staff, state lawmakers passed a pay raise for state employees last summer that boosted starting wages for corrections officers to $33 an hour. Wages could be as high as $41 an hour depending on location and shift. On Feb. 11 on WISN-TV’s ""Upfront"" program, Gov. Tony Evers claimed the pay raise is helping attract more people to the profession and producing record-high officer training classes. ""We're having the largest classes of correctional officers we've ever had before,"" Evers said. However, Evers acknowledges that large class sizes haven’t yet solved the staffing shortages, saying, ""We’re getting there."" Sign up for PolitiFact texts The Wisconsin Department of Corrections said its training program for correctional officers has had a spike in graduates over the past six months. But is Evers correct that recent classes have been the largest ever? And, since Evers suggested they were making a major dent in shortages, we’ll touch on how the graduates stack up against soaring high vacancy rates. Correctional officer training program sees increased graduates People interested in becoming correctional officers must undergo a six-week training academy called the Facility Staff Training and Support Program before they can start security work at prisons across the state. The program is held at the Department of Corrections’ training center in Madison or at local academies, which currently are held at Green Bay Correctional Institution and Dodge Correctional Institution. A Feb. 21 graduation ceremony at Madison College for newly certified corrections officers had 214 graduates, according to the Department of Corrections. In a Department of Corrections press release, Secretary Kevin Carr said that was the department’s largest graduating class since at least 1981. The previous graduating class on Dec. 15 had 144 graduates. Graduate numbers have been increasing. In 2023, the state saw 568 graduates from multiple training classes, and in 2022, the total was 285 graduates, according to the Department of Corrections. Department of Corrections data shows staffing shortages shrinking Staffing vacancies for all state prisons reached a peak of 35% last August and have since been trending down, according to Department of Corrections data. Shortages have been especially tight at Waupun and Green Bay Correctional Institutions, where inmates’ movement has been limited since March and June because of low staffing. After the pay raise took effect in October, vacancies started trending down and currently sit at 26%. But that is still a relatively high vacancy rate for the prisons. Pre-pandemic rates consistently sat around 15% and didn’t go above 20%. In his interview, Evers mentions the pay bump has helped statewide staffing shortages, but places such as Waupun—where the vacancy rate is 56%—are still struggling. Our ruling During a TV interview, Evers claimed pay raises for correctional officers had led to ""the largest classes of correctional officers we've ever had before."" The governor acknowledged that conditions aren’t perfect yet and work remains to solve prison and staffing conditions. In February, the Department of Corrections graduated its largest training class to date with 214 graduates and the last class had 144 graduates. And as graduating classes increase, staffing shortages at state prisons are trending down after peaking last summer. We rate this claim True."
Anissa,MOSTLY TRUE,Jonathan Becker,"After a 2022 law, “The vast majority of colleges in New York State do not have on-campus poll sites.”",x,2024-02-16,written,PolitiFact,4/8/2024,https://www.PolitiFact.com/factchecks/2024/apr/08/jonathan-becker/do-the-vast-majority-of-colleges-in-new-york-state/,,
